,codimap_category,codimap_title,codimap_date,views,comment_numbers,codimap_explain,codimap_hashtag,codimap_imgurl
0,캐주얼,톤온톤 코디,2021.07.02,"17,313",50,편하게 입기 좋은 반팔 티셔츠와 와이드 팬츠를 연출하고 크로스 백으로 마무리한 캐주얼 룩,"#톤온톤,#뉴트럴톤,#캠퍼스,#피크닉,#와이드핏,#오버핏,#꾸안꾸,#여름,#캐주얼,#벗딥,#엠엠엘지,#캐치볼,#예일,#반원 아틀리에,#토트백,#잡지/무크지,#캡/야구 모자,#캔버스/단화,#반소매 티셔츠",https:////image.msscdn.net/images/codimap/detail/4035/detail_4035_1_500.jpg?202401111901
1,캐주얼,블랙 매니아,2021.02.23,"36,351",47,편안한 무드의 조거 팬츠에 블랙 스웨트셔츠를 매치한 후 볼캡으로 마무리한 캐주얼 룩,"#봄,#캐주얼,#라퍼지스토어,#다이아몬드 레이라,#나이키,#엠프렌즈,#모티패스트,#이에스엔,#안경 소품,#디퓨저/캔들,#반소매 티셔츠,#셔츠/블라우스,#패션스니커즈화,#케이스/슬리브,#캡/야구 모자,#레더/라이더스 재킷,#맨투맨/스웨트셔츠",https:////image.msscdn.net/images/codimap/detail/1969/detail_1969_1_500.jpg?202401111901
2,캐주얼,오늘의 코디,2022.03.22,"13,422",44,로고 디테일이 돋보이는 스웨트셔츠와 데님 팬츠를 코디하고 스니커즈로 완성한 캐주얼 룩,"#로고플레이,#오버핏,#스티치,#캠퍼스,#봄,#캐주얼,#유니폼브릿지,#아디다스,#47브랜드,#하 아카이브,#어반디타입,#데님 팬츠,#안경 소품,#액자/포스터,#패션스니커즈화,#캡/야구 모자,#메신저/크로스 백,#맨투맨/스웨트셔츠",https:////image.msscdn.net/images/codimap/detail/13814/detail_13814_1_500.jpg?202401111901
3,댄디,추천 댄디 룩,2021.09.15,"21,618",32,담백한 디테일의 니트와 셔츠를 레이어드하고 데님 팬츠를 더해 완성한 댄디 룩,"#데이트,#그래픽,#레이어드룩,#가을,#댄디,#엘무드,#뮤지엄바이비컨,#테이크이지,#로스트가든,#아르반,#플랙,#누깍,#반소매 티셔츠,#니트/스웨터,#안경,#셔츠/블라우스,#부츠,#블루종/MA-1,#데님 팬츠,#숄더백",https:////image.msscdn.net/images/codimap/detail/6746/detail_6746_1_500.jpg?202401111901
4,캐주얼,릴랙스 룩,2021.02.23,"24,049",25,플라워 자수가 눈에 띄는 니트에 조거 팬츠를 더한 후 레드 볼캡으로 컬러 포인트를 준 이지 캐주얼 룩,"#봄,#캐주얼,#카시오,#코닥,#제로,#와릿이즌,#뉴발란스,#커버낫,#디지털,#미니스커트,#캡/야구 모자,#트레이닝/조거 팬츠",https:////image.msscdn.net/images/codimap/detail/1974/detail_1974_1_500.jpg?202401111901
5,스트릿,힙하다 힙해,2021.02.03,"36,106",24,레더 블루종 점퍼에 오버사이즈 니트와 조거 팬츠를 매치하고 블루 컬러 볼캡으로 멋을 더한 스트릿 룩,"#봄,#스트릿,#제로,#월간,#라퍼지스토어,#키치오브제,#블론드나인,#47브랜드,#트레이닝/조거 팬츠,#액자/포스터,#목걸이/펜던트,#레더/라이더스 재킷,#캔버스/단화,#니트/스웨터,#캡/야구 모자",https:////image.msscdn.net/images/codimap/detail/1701/detail_1701_1_500.jpg?202401111901
6,댄디,데이트 코디,2021.12.24,"10,991",19,깔끔한 무드의 니트에 데님 팬츠를 스타일링하고 스니커즈로 마무리한 댄디 룩,"#남친룩,#레더,#데이트,#테이퍼드핏,#오버핏,#소개팅,#스티치,#겨울,#댄디,#쿠어,#에스에스알엘,#플랙,#유니폼브릿지,#슈마커,#예일,#니트/스웨터,#메신저/크로스 백,#데님 팬츠,#숏패딩/숏헤비 아우터,#캔버스/단화,#머플러",https:////image.msscdn.net/images/codimap/detail/10584/detail_10584_1_500.jpg?202401111901
7,캐주얼,심플한 코디,2021.07.30,"41,372",18,로고 프린팅이 돋보이는 반팔 티셔츠와 스웨트 팬츠를 매치하고 스니커즈로 완성한 이지 캐주얼 룩,"#로고플레이,#편안한,#원마일웨어,#와이드핏,#여름,#캐주얼,#리,#세미콜론 아이웨어,#제로,#반스,#베지터블테이블,#셔츠/블라우스,#반소매 티셔츠,#안경,#트레이닝/조거 팬츠,#캔버스/단화,#캡/야구 모자",https:////image.msscdn.net/images/codimap/detail/5053/detail_5053_1_500.jpg?202401111901
8,댄디,훈훈 남친 룩,2021.03.24,"20,021",17,체크 패턴이 돋보이는 블레이저에 셔츠와 데님 팬츠를 더하고 담백한 구두로 마무리한 댄디 룩,"#봄,#댄디,#모디파이드,#반,#락포트,#수아레,#슈트/블레이저 재킷,#기타 시계,#메신저/크로스 백,#데님 팬츠,#구두,#셔츠/블라우스",https:////image.msscdn.net/images/codimap/detail/2392/detail_2392_1_500.jpg?202401111901
9,댄디,서머 데이트 룩,2021.07.26,"8,369",17,깔끔한 셔츠와 니트 베스트를 레이어드하고 클러치 백으로 완성한 댄디 룩,"#미니멀,#데이트,#오버핏,#로고플레이,#하객,#화사한,#여름,#댄디,#러프넥,#비슬로우,#퍼스텝,#레테르코모,#캘빈클라인 진,#구두,#코튼 팬츠,#셔츠/블라우스,#베스트,#클러치 백",https:////image.msscdn.net/images/codimap/detail/4851/detail_4851_1_500.jpg?202401111901
